Fecha;Estación;Temp_Max;Temp_Min;Temp_Med;Hum_Max;Hum_Min;Hum_Med;Lluvia_Max;Lluvia_Min;Lluvia_Med;Presion_Max;Presion_Min;Presion_Med;Viento_Max;Viento_Min;Viento_Med
2024-01-01 00:00:00;Castellón-N;26,5;18,6;22,6;88;65;76,5;4,8;0,5;2,6;1008,5;1003,2;1005,9;18,4;8,5;13,4
2024-01-01 00:00:00;Benicàssim;20,7;9;14,9;83;67;75;2,2;1,8;2;1017,3;1014,1;1015,7;21,8;14,7;18,3
2024-01-01 00:00:00;Villarreal;29,4;19,5;24,4;83;62;72,5;0;0;0;1021,1;1016,4;1018,8;17,9;8,9;13,4
2024-01-01 00:00:00;Segorbe;27,7;16,9;22,3;90;44;67;3,3;2,5;2,9;1013;1009;1011;15,9;4,1;10
2024-01-01 00:00:00;Morella;30,6;20,9;25,8;93;54;73,5;0;0;0;1018,3;1011,8;1015;22,7;14,7;18,7
2024-01-02 00:00:00;Castellón-N;26,2;15,9;21;97;48;72,5;4,6;0,6;2,6;1018,4;1013,3;1015,8;21,4;9,6;15,5
2024-01-02 00:00:00;Benicàssim;17,7;8,4;13;91;53;72;0,1;0;0;1022,5;1019,2;1020,8;24,8;19,9;22,4
2024-01-02 00:00:00;Villarreal;23,3;13;18,2;91;56;73,5;4,1;1,3;2,7;1013,3;1009,2;1011,2;24,3;14,9;19,6
2024-01-02 00:00:00;Segorbe;18,6;10,9;14,8;96;41;68,5;3,5;1;2,3;1018,5;1014,3;1016,4;20,8;8,9;14,9
2024-01-02 00:00:00;Morella;23,5;12,5;18;86;45;65,5;0,9;0,1;0,5;1009;1003;1006;17,7;7,6;12,6
2024-01-03 00:00:00;Castellón-N;27,4;16,5;22;89;53;71;1,7;0,5;1,1;1014,6;1013;1013,8;12,8;6,7;9,7
2024-01-03 00:00:00;Benicàssim;20;9,2;14,6;89;60;74,5;0,9;0,8;0,9;1013,2;1006,7;1010;15,3;5,9;10,6
2024-01-03 00:00:00;Villarreal;20,2;10,9;15,6;82;53;67,5;0;0;0;1017,2;1011,7;1014,4;17;11,4;14,2
2024-01-03 00:00:00;Segorbe;25,4;16,4;20,9;93;52;72,5;2,1;1,2;1,6;1013,8;1010,9;1012,3;20,9;10,2;15,6
2024-01-03 00:00:00;Morella;31,8;20,1;26;93;44;68,5;6,4;3,8;5,1;1011,8;1008,7;1010,2;18,1;12,2;15,1
2024-01-04 00:00:00;Castellón-N;28,2;18,6;23,4;83;68;75,5;0;0;0;1016,6;1009,9;1013,2;30;11,2;20,6
2024-01-04 00:00:00;Benicàssim;27,1;19,1;23,1;90;54;72;2,8;0,9;1,9;1012,9;1009,1;1011;19,3;6,1;12,7
2024-01-04 00:00:00;Villarreal;25,8;16,1;20,9;86;56;71;0;0;0;1012,6;1007,7;1010,1;28,8;18,4;23,6
2024-01-04 00:00:00;Segorbe;29,9;20,9;25,4;99;46;72,5;0;0;0;1011,4;1002,1;1006,7;15,9;3,4;9,6
2024-01-04 00:00:00;Morella;20,5;8,6;14,6;92;48;70;1,5;0,4;1;1011,7;1005,8;1008,8;17,7;11,4;14,6
2024-01-05 00:00:00;Castellón-N;18,6;8,3;13,4;81;62;71,5;2,5;2,2;2,3;1016,4;1008,8;1012,6;21,1;12,3;16,7
2024-01-05 00:00:00;Benicàssim;30,5;19,7;25,1;94;62;78;2,5;2,4;2,5;1008,2;999,9;1004;28,6;19,2;23,9
2024-01-05 00:00:00;Villarreal;23,1;10,2;16,6;94;66;80;6,2;1,9;4,1;1018,2;1014;1016,1;20;10,5;15,2
2024-01-05 00:00:00;Segorbe;26,7;13,9;20,3;85;43;64;3,9;0,5;2,2;1014,8;1011,4;1013,1;13,9;6,5;10,2
